wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689861097000,1689861098000,3,4755575410151216469,1689861098871
1689861097000,1689861098000,4,4751172768973367979,1689861098871
1689861097000,1689861098000,5,4726461138998045355,1689861098871
1689861097000,1689861098000,6,4726395928755656021,1689861098871
1689861097000,1689861098000,8,4725961289484992512,1689861098962
1689861097000,1689861098000,9,4725973635938910208,1689861098962
1689861097000,1689861098000,10,4726534755677022891,1689861098962
1689861097000,1689861098000,11,4726464662839754752,1689861098962
1689861098000,1689861099000,3,4755575411601746603,1689861099890
1689861098000,1689861099000,4,4751172772321121621,1689861099890
1689861098000,1689861099000,5,4726461244660951723,1689861099890
1689861098000,1689861099000,6,4726396037348982784,1689861099890
1689861098000,1689861099000,8,4725961406903134891,1689861099989
1689861098000,1689861099000,9,4725973754050510848,1689861099989
1689861098000,1689861099000,10,4726534856619939157,1689861099989
1689861098000,1689861099000,11,4726464764218878635,1689861099989
1689861099000,1689861100000,3,4755575412679682731,1689861100910
1689861099000,1689861100000,4,4751172774607716352,1689861100910
1689861099000,1689861100000,5,4726461315058150059,1689861100910
1689861099000,1689861100000,6,4726396103764388523,1689861100910
1689861099000,1689861100000,8,4725961474056738133,1689861101005
1689861099000,1689861100000,9,4725973822132453376,1689861101005
1689861099000,1689861100000,10,4726534922297147392,1689861101005
1689861099000,1689861100000,11,4726464835723373227,1689861101005
1689861100000,1689861101000,3,4755575414217768960,1689861101926
1689861100000,1689861101000,4,4751172777196300971,1689861101926
1689861100000,1689861101000,5,4726461397680346453,1689861101926
1689861100000,1689861101000,6,4726396179653328896,1689861101926
1689861100000,1689861101000,8,4725961532385525760,1689861102023
1689861100000,1689861101000,9,4725973885382557696,1689861102023
1689861100000,1689861101000,10,4726534988813216427,1689861102023
1689861100000,1689861101000,11,4726464894197563392,1689861102023
1689861101000,1689861102000,3,4755575415399863637,1689861102944
1689861101000,1689861102000,4,4751172779768457899,1689861102944
1689861101000,1689861102000,5,4726461484776467115,1689861102944
1689861101000,1689861102000,6,4726396262689363285,1689861102944
1689861101000,1689861102000,8,4725961634648249685,1689861103039
1689861101000,1689861102000,9,4725973984010218155,1689861103039
1689861101000,1689861102000,10,4726535093346456917,1689861103039
1689861101000,1689861102000,11,4726465000799993856,1689861103039
1689861102000,1689861103000,3,4755575416427293355,1689861103960
1689861102000,1689861103000,4,4751172781957185536,1689861103960
1689861102000,1689861103000,5,4726461553014996992,1689861103960
1689861102000,1689861103000,6,4726396335480111104,1689861103960
1689861102000,1689861103000,8,4725961705526394880,1689861104055
1689861102000,1689861103000,9,4725974051510550528,1689861104055
1689861102000,1689861103000,10,4726535148062550699,1689861104055
1689861102000,1689861103000,11,4726465066387723605,1689861104055
1689861103000,1689861104000,3,4755575417953670485,1689861104982
1689861103000,1689861104000,4,4751172785053630464,1689861104982
1689861103000,1689861104000,5,4726461647537831936,1689861104982
1689861103000,1689861104000,6,4726396421032727893,1689861104982
1689861103000,1689861104000,8,4725961780475811157,1689861105001
1689861103000,1689861104000,9,4725974133819572224,1689861105001
1689861103000,1689861104000,10,4726535208751333376,1689861105001
1689861103000,1689861104000,11,4726465151481763157,1689861105001
1689861104000,1689861105000,3,4755575418972012544,1689861106010
1689861104000,1689861105000,4,4751172786769100800,1689861106010
1689861104000,1689861105000,5,4726461699838006613,1689861106010
1689861104000,1689861105000,6,4726396485949369003,1689861106010
1689861104000,1689861105000,8,4725961849396614485,1689861106044
1689861104000,1689861105000,9,4725974201901514752,1689861106044
1689861104000,1689861105000,10,4726535287302258688,1689861106044
1689861104000,1689861105000,11,4726465219742662656,1689861106044
1689861105000,1689861106000,3,4755575420301257387,1689861107034
1689861105000,1689861106000,4,4751172789941742251,1689861107034
1689861105000,1689861106000,5,4726461803040254635,1689861107034
1689861105000,1689861106000,6,4726396588223277739,1689861107034
1689861105000,1689861106000,8,4725961948024274944,1689861107074
1689861105000,1689861106000,9,4725974305942623573,1689861107074
1689861105000,1689861106000,10,4726535347297583104,1689861107074
1689861105000,1689861106000,11,4726465309579061931,1689861107074
1689861106000,1689861107000,8,4725962022996060843,1689861107942
1689861106000,1689861107000,9,4725974362079188309,1689861107942
1689861106000,1689861107000,10,4726535453631578112,1689861107942
1689861106000,1689861107000,11,4726465396630443349,1689861107942
1689861106000,1689861107000,3,4755575421404009813,1689861108036
1689861106000,1689861107000,4,4751172792147247104,1689861108036
1689861106000,1689861107000,5,4726461877698865835,1689861108036
1689861106000,1689861107000,6,4726396656115078485,1689861108036
1689861107000,1689861108000,8,4725962087208058880,1689861108958
1689861107000,1689861108000,9,4725974396148121600,1689861108958
1689861107000,1689861108000,10,4726535502688157696,1689861108958
1689861107000,1689861108000,11,4726465413910975829,1689861108958
1689861107000,1689861108000,3,4755575423049575083,1689861109081
1689861107000,1689861108000,4,4751172794437686613,1689861109081
1689861107000,1689861108000,5,4726461955209603755,1689861109081
1689861107000,1689861108000,6,4726396725259578027,1689861109081
1689861108000,1689861109000,8,4725962191640636075,1689861109972
1689861108000,1689861109000,9,4725974499238521515,1689861109972
1689861108000,1689861109000,10,4726535601897428309,1689861109972
1689861108000,1689861109000,11,4726465516274363051,1689861109972
1689861108000,1689861109000,3,4755575424091335339,1689861110103
1689861108000,1689861109000,4,4751172797188101461,1689861110103
1689861108000,1689861109000,5,4726462041108949675,1689861110103
1689861108000,1689861109000,6,4726396823618803029,1689861110103
1689861109000,1689861110000,8,4725962240697215659,1689861110984
1689861109000,1689861110000,9,4725974563953836032,1689861110984
